产品系列/类型,匹配规则
排空气阀,\bthermostatic\s+air\s+vent\b; \bsteam\s+air\s+vent\b; \bair\s+vent(s)?\b; 排空气阀; 排气阀; \beliminador(a|es)?\s+(de\s+)?(ar|aire)\b; \beliminador\s+termostatico\s+de\s+aire\b; \bpurga\s+de\s+aire\b; \beliminacion\s+de\s+aire\b; air eliminator; dcaricatore aria; eliminatore aria; eliminatore d'aria; luftudlader; ontluchter
自动排空气阀,\bautomatic\s+air\s+vent(s)?\b; \bauto\s+air\s+vent\b; 自动排空气; 自动排气阀; \b13\s*w(hs|s)?\b; automatic air and gas vents; automatische ontluchter
换热器,\bplate\s+heat\s+exchanger(s)?\b; \bshell\s+heat\s+exchanger\b; \bheat\s+exchanger(s)?\b; 换热器; turflow; scambiatori; intercambiador de calor; schimbator de caldura; shell heat exchanger; intercambiadores de calor
取样冷却器,\bsample\s+cooler(s)?\b; 取样冷却器
截止阀,\bglobe\s+valve\b; \bstop\s+valve(s)?\b; 截止阀; faltenbalg absperrventil; fuelles; steam bellow; \bbs1a\b; fole; \bgsa\b; robinet gsa; globo gsa
排污阀,\bblowdown\s+valve(s)?\b; 排污阀; \bpurga\s+de\s+fondo\b; \bpurga\s+de\s+sales\b; \bpurga\s+de\s+superficie\b; \bbottom\s+blowdown\b; \bcontinuous\s+blowdown\b; purgas? de calderas; boiler blowdown; purga automatica; purga continua; purga de vapor; descargas; zawory odmulajace; \bbcv\b; \bkbv\s*20\b; \bdfg\s*300\b; \bbdv\s*980\b; BDV blowdown/depressurisation valves
排污控制器,\bblowdown\s+controller\b; 排污控制器; \bcontroladores?\s+de\s+purga\b; \bcontroleur\s+de\s+purge\b; \bbc\s*3000\b; \bbc\s*3200\b; \bbc\s*3210\b
减温器,\bdesuperheater(s)?\b; \battemperator\b; 减温器; atemperadores; steam cooler
闪蒸罐,\bflash\s+vessel(s)?\b; \bflash\s+tank(s)?\b; 闪蒸罐; \btanque\s+flash\b; \btanque\s+vapor\s+flash\b; \bflash\s+recovery\s+vessel\b; \bflash\s+steam\s+recovery\s+vessels?\b; steam recovery vessels
观视镜,\bsight\s+glass\b; \bsight\s+check\b; 观视镜; 视镜; \bvisor\s+de\s+flu[jx]o\b; \bcheque\s+visor\b; \bvisor\s+doble\b; mirilla; mirillas; visor de 1; wzierniki; \bsg2\b
电磁阀,\bsolenoid\s+valve(s)?\b; 电磁阀; \belectrovalvula(s)?\b; \bwav\b; \bev141\b; \bev142\b; magneetventiel; electro-distributeur
消音器,\bsilencer(s)?\b; 消音器; \bdf\b
液位开关,\blevel\s+switch\b; 液位开关
液位控制器,\blevel\s+controller\b; 液位控制器; lc 1000; lc 2500; lc 2610; \blp\s*10\b
水封罐,\bseal\s+pot\b; 水封罐
自动泵,\bpressure\s+powered\s+pump\b; \bppc\s+pump\b; \bpump\s+ppc\b; \bppec\b
机械泵,\bogden\s+pump\b; \bspira\s*pump\b; \bptc\s+spirax\s+sarco\b; \bspirax\s+sarco\s+ptc\b; pivotrol.*ptc; bombas?\s+con\s+ptc
排污罐,\bblowdown\s+(vessel|tank)\b; \btanque\s+de\s+purgas\b; \bblowdown\s+expansion\s+and\s+cooling\s+unit\b
喷射器,\bsteam\s+injector\b; injetor de vapor; inyector de vapor
分布器,\bsteam\s+sparger\b; distribuidor de fluxo universal; \bdfu\b; dynafluid; sparge pipe
换热器系统,\bredi\s*heat\b; \beasy\s*heat\b; \bhot\s+water\s+heater\b; calentador agua; central agua quente; easyheater; steam tank water heater; tank water heater; sistema calentador agua; sistema de calentamiento directo con vapor; tanque de agua caliente
温度控制系统,\btemperature\s+controller\b; \bcontrolador\s+.*sx[-\s]*uni\b; \bsx[-\s]*uni\b; temperature control system
过程控制器,\bcontroller\b; \bcontrolador\b; \bcontroladores\b; \bcontroleur\b; \bsx\s*65\b
变送器,\bpressure\s+transmitter\b; \bdifferential\s+pressure\s+transmitter\b; pressure transmitter model pt; \bmodel\s+pt\b
显示器,\bpressure\s+gauge\b; barometro; manometro; manometer; thermal gauge; siphon; syphon; pressure gauge siphon; \baf\b; Fernanzeige AF,; af
排污控制系统,\bblowdown\s+heat\s+recovery\b; descarga de fundo; solidos totais; purge sonde; surveillance purge; sistema de purga; \bbcs\s*2\b
冷凝器,\bcondensate\s+cooler\b; condensing vessels?
破真空器,rompedor de vacio; vakuumbrecher; vacuum breaker; captador vacio; condensate vacuum vent; vb14instal
冷凝水回收装置,condensate recovery unit; condensate recovery; condensate receiver; condensate return unit; condensate return system; cru; kondensathebeanlage; tanque de condensados; \bsps\b; SPS Series condensate recovery units,; sps
洁净蒸汽发生器,generador de vapor limpio; clean steam generator; vapor limpio; \bcsm[-\s]*(c|e|k)\b; \bcsmc\b; reindampferzeuger; wfi stiller
管道连接器,universal connector; acoples rapidos; conector pt2; connectors?; \bpt1\b; \bpt2\b; \bpt3\b; plug tails?; conectores? pt
喷射加热系统,direct steam injection; steam water mixing station; estacion mezcladora agua vapor; steam water mixer; steam water washdown unit; misturador de agua e vapor; cabezal mezclador; \bins\s*15\b
孔板,orifice plate; placa orificio; flangia tarata
先导阀,pilot valve
蒸汽蓄热器,steam accumulator; acumulador de vapor; acumuladores de vapor; accumulator; acummulattor
锅炉控制,boiler control(s)?; modulating feed water control
蒸汽发生器,steam generator(s)?; generador de vapor; generadores de vapor
集水腿,drip leg; bolsillo de trampeo
排水盘弯头,drip pan elbow; drain pan elbow; charola modelo dpe
阀门通用,valvula de vapor; valvulas de vapor; venttiilit; steam valve(s)?; valves? steam; \bvalves?\b; dampfventil; ventiler; venttiili; vanalar; robineti; slavina; klapy
垫片与膨胀接头,gasket(s)?; junta(s)?; juntas de expansion; expansion joint; compensadores de dilatacion; steam expansion
除氧器,deaerator; desaireador; degasatore; desgasificador; desgasifier
锅炉及附件,boiler; calderas?; caldeiras?; boiler house; feed water tank; hotwell; hot well; tanque de alimentacion; sistema de agua de alimentacion; burner; economizador; ekonomizer; water treatment automatic; kotlownie parowe
泵通用,steam pump; \bpumps?\b; bomba
空气加湿器,\bhumidifier(s)?\b; steam humidifier; type\s*20; direct steam injection humidifier; lanzas; humidifier lances
监测器,\bccd\b; condensate contamination detection; digital cycle counter; contador de ciclos; analizador de condensados; analisador vazamento; analizador de oxigeno; sensor of oxygen
蒸汽集管,colector de vapor; coletor de vapor; manifold industrial; steam manifolds; collecteur; calector de vapor
流量计算机,totalisateur; scanner\s*2000; \bs2000\b
活塞阀,pistonlu vanalar; piston operated valva; piston actuated on/off; actuadas on off; \brp\b; rp31; rp32; rp33
引射器,termocompresor; thermocompressor; eyector de vapor; steam ejector
电导率感应器,medidor conductividad; sonda de conductividad; \bcp\s*10\b; \bcp\s*30\b; \bcp\s*40\b; conductivity probe
液位感应器,camara sensora; sensor chamber; radar de onda guiada
蝶阀,przepustnica
泵组组合,apt package; kit de bombeamento
排空帽,\bvht2\b
润滑器,\blubricator(s)?\b; lubrificador; \bil1m?\b
混合阀,\bmkii\b; steam/water mixing valve
双切断排放阀,double block and bleed; safebloc; \bblocks?\b; bloques
溢流阀,\buv\b; overflow/surplussing valve
