型号,口径,价格,物料代码,分类,必要说明,库存状态,参考编号,英文描述,材质,规格,数量,TIS项目,来源文件,文档名,表格标题,表格序号
滤网、滤网支撑盘、阀门弹簧和阀盖垫片,"1 1/2""",473,3265653,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,M N O C,"Screen, Screen Support Disc, Valve Spring & Cap Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
滤网、滤网支撑盘、阀门弹簧和阀盖垫片,"2""",632,3265654,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,M N O C,"Screen, Screen Support Disc, Valve Spring & Cap Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀盖垫片、阀芯、阀座和阀座垫片,"1/2""",439,3265657,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,* C P Q R,"Cover Gasket, Valve Head, Seat & Seat Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀盖垫片、阀芯、阀座和阀座垫片,"3/4""",473,3265658,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,* C P Q R,"Cover Gasket, Valve Head, Seat & Seat Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀盖垫片、阀芯、阀座和阀座垫片,"1""",647,3265665,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,* C P Q R,"Cover Gasket, Valve Head, Seat & Seat Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀盖垫片、阀芯、阀座和阀座垫片,"1 1/4""",706,3265669,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,* C P Q R,"Cover Gasket, Valve Head, Seat & Seat Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀盖垫片、阀芯、阀座和阀座垫片,"1 1/2""",867,3265672,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,* C P Q R,"Cover Gasket, Valve Head, Seat & Seat Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀盖垫片、阀芯、阀座和阀座垫片,"2""","1,139",3265675,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,* C P Q R,"Cover Gasket, Valve Head, Seat & Seat Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀杆导向、阀杆和螺母、阀体/膜片座垫片,"1/2""",940,3265680,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,J S T,"Valve Stem Guide, Stem & Nut, Body/Diaphragm Case Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀杆导向、阀杆和螺母、阀体/膜片座垫片,"3/4""",940,3265680,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,J S T,"Valve Stem Guide, Stem & Nut, Body/Diaphragm Case Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀杆导向、阀杆和螺母、阀体/膜片座垫片,"1""",978,3265681,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,J S T,"Valve Stem Guide, Stem & Nut, Body/Diaphragm Case Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀杆导向、阀杆和螺母、阀体/膜片座垫片,"1 1/4""","1,298",3265682,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,J S T,"Valve Stem Guide, Stem & Nut, Body/Diaphragm Case Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀杆导向、阀杆和螺母、阀体/膜片座垫片,"1 1/2""","1,298",3265682,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,J S T,"Valve Stem Guide, Stem & Nut, Body/Diaphragm Case Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀杆导向、阀杆和螺母、阀体/膜片座垫片,"2""","1,570",3265683,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,J S T,"Valve Stem Guide, Stem & Nut, Body/Diaphragm Case Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
膜片托盘,"1/2""",-,-,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,K,Diaphragm Plate,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
膜片托盘,"3/4""",-,-,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,K,Diaphragm Plate,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
膜片托盘,"1""",288,3258008,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,K,Diaphragm Plate,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
膜片托盘,"1 1/4""",288,3258008,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,K,Diaphragm Plate,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
膜片托盘,"1 1/2""",288,3258008,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,K,Diaphragm Plate,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
膜片托盘,"2""",288,3258009,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,K,Diaphragm Plate,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
膜片，每套2片,"1/2""",219,3265689,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,L,Diaphragms (2 per set),,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
膜片，每套2片,"3/4""",219,3265689,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,L,Diaphragms (2 per set),,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
膜片，每套2片,"1""",219,3265689,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,L,Diaphragms (2 per set),,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
膜片，每套2片,"1 1/4""",225,3265690,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,L,Diaphragms (2 per set),,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
膜片，每套2片,"1 1/2""",225,3265690,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,L,Diaphragms (2 per set),,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
膜片，每套2片,"2""",325,3265691,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,L,Diaphragms (2 per set),,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的铜导管,"1/2""",695,13265694,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,"* U (copper, 2 pipes)",Transmission Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的铜导管,"3/4""",695,13265694,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,"* U (copper, 2 pipes)",Transmission Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的铜导管,"1""",719,13265697,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,"* U (copper, 2 pipes)",Transmission Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的铜导管,"1 1/4""",719,13265698,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,"* U (copper, 2 pipes)",Transmission Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的铜导管,"1 1/2""",719,13265698,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,"* U (copper, 2 pipes)",Transmission Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的铜导管,"2""",719,13265751,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,"* U (copper, 2 pipes)",Transmission Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的内感应铜管,"1/2""",373,13265695,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,-,Internal Sensing Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的内感应铜管,"3/4""",373,13265695,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,-,Internal Sensing Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的内感应铜管,"1""",373,13265695,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,-,Internal Sensing Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的内感应铜管,"1 1/4""",436,13265699,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,-,Internal Sensing Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的内感应铜管,"1 1/2""",436,13265699,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,-,Internal Sensing Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的内感应铜管,"2""",387,13265752,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,-,Internal Sensing Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的不锈钢输送和感应管,"1/2""","1,643",6901092,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,"* U (SS, 3 pipes)",Transmission and Sensing Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的不锈钢输送和感应管,"3/4""","1,643",6901092,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,"* U (SS, 3 pipes)",Transmission and Sensing Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的不锈钢输送和感应管,"1""","1,643",6901102,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,"* U (SS, 3 pipes)",Transmission and Sensing Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的不锈钢输送和感应管,"1 1/4""","1,643",6901112,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,"* U (SS, 3 pipes)",Transmission and Sensing Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的不锈钢输送和感应管,"1 1/2""","1,668",6901112,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,"* U (SS, 3 pipes)",Transmission and Sensing Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
带接头的不锈钢输送和感应管,"2""","1,668",6901122,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,"* U (SS, 3 pipes)",Transmission and Sensing Tubing with Fittings,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
垫片包：含阀盖、阀座、阀体/膜片座及4个导阀垫片,"1/2""",325,3265757,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,* C R S W,"Gasket Kit: Cap, Seat, Body/Diaphragm Case & Four Pilot Gaskets",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
垫片包：含阀盖、阀座、阀体/膜片座及4个导阀垫片,"3/4""",325,3265757,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,* C R S W,"Gasket Kit: Cap, Seat, Body/Diaphragm Case & Four Pilot Gaskets",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
垫片包：含阀盖、阀座、阀体/膜片座及4个导阀垫片,"1""",349,3265759,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,* C R S W,"Gasket Kit: Cap, Seat, Body/Diaphragm Case & Four Pilot Gaskets",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
垫片包：含阀盖、阀座、阀体/膜片座及4个导阀垫片,"1 1/4""",349,3265761,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,* C R S W,"Gasket Kit: Cap, Seat, Body/Diaphragm Case & Four Pilot Gaskets",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
垫片包：含阀盖、阀座、阀体/膜片座及4个导阀垫片,"1 1/2""",349,3265763,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,* C R S W,"Gasket Kit: Cap, Seat, Body/Diaphragm Case & Four Pilot Gaskets",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
垫片包：含阀盖、阀座、阀体/膜片座及4个导阀垫片,"2""",410,3265765,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,* C R S W,"Gasket Kit: Cap, Seat, Body/Diaphragm Case & Four Pilot Gaskets",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
25P SG Blue,"1/2""","12,840",6090328,减压阀,,无库存 (N),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,"3/4""","13,023",6090331,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,"1""","14,305",6090334,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,"1 1/4""","14,984",6090337,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,"1 1/2""","16,008",6090340,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,"2""","18,660",6090343,减压阀,,无库存 (N),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,DN15,"13,839",6090349,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,DN20,"14,478",6090352,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,DN25,"15,984",6090355,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,DN32,"18,151",6090358,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,DN40,"18,227",6090361,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,DN50,"21,726",6090364,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,DN65,"47,459",6095200,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,DN80,"51,220",6095203,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,DN100,"61,454",6095206,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P SG Blue,DN125,"88,764",3267145,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
25P CI Blue,DN150,"187,020",6000354,减压阀,,有库存 (Y),,,,,,,减压阀/25P.md,25P,1. 25P 球墨铸铁阀门 - 螺纹连接 (BSP) 或法兰连接 (PN16),1
